iter	Passed	Remaining
0	454	45016
1	899	44097
2	1335	43183
3	1921	46107
4	2393	45480
5	2931	45919
6	3491	46384
7	4055	46639
8	4643	46953
9	5312	47810
10	5789	46839
11	5983	43877
12	6427	43012
13	6895	42355
14	7332	41552
15	7759	40736
16	8255	40307
17	8722	39737
18	9172	39103
19	9659	38638
20	10176	38281
21	10779	38219
22	11406	38187
23	12237	38753
24	12749	38248
25	13264	37751
26	13863	37482
27	14628	37617
28	15310	37483
29	16264	37949
30	17154	38182
31	17775	37773
32	18687	37940
33	19385	37631
34	20217	37546
35	20862	37088
36	21425	36481
37	21876	35693
38	22431	35085
39	22972	34459
40	23435	33723
41	23875	32970
42	24297	32208
43	24737	31484
44	25261	30875
45	25715	30187
46	26154	29493
47	26583	28798
48	27108	28215
49	27562	27562
50	28027	26927
51	28486	26295
52	28981	25700
53	29470	25104
54	29894	24458
55	30337	23836
56	30788	23226
57	31232	22616
58	31655	21997
59	32071	21380
60	32505	20782
61	32965	20204
62	33421	19628
63	33867	19050
64	34311	18475
65	34722	17887
66	35154	17314
67	35611	16758
68	36050	16196
69	36506	15645
70	36951	15092
71	37397	14543
72	37885	14012
73	38428	13501
74	38834	12944
75	39259	12397
76	39671	11850
77	40091	11307
78	40502	10766
79	40936	10234
80	41360	9701
81	41806	9177
82	42217	8646
83	42659	8125
84	43106	7606
85	43572	7093
86	44050	6582
87	44491	6067
88	44934	5553
89	45384	5042
90	45805	4530
91	46262	4022
92	46695	3514
93	47099	3006
94	47507	2500
95	47930	1997
96	48379	1496
97	48810	996
98	49324	498
99	49859	0
